Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.01860"
"0.10000","0.00126","-0.25513"
"0.20000","0.00554","-0.07007"
"0.30000","0.00987","0.27656"
"0.40000","0.01411","0.23184"
"0.50000","0.01824","0.03676"
"0.60000","0.02245","0.03193"
"0.70000","0.02660","0.36752"
"0.80000","0.03077","-0.06368"
"0.90000","0.03494","0.24272"
"1.00000","0.03909","0.08083"
"1.10000","0.04325","-0.17190"
"1.20000","0.04741","-0.10720"
"1.30000","0.05157","-0.13350"
"1.40000","0.05572","0.12272"
"1.50000","0.05996","-0.06921"
"1.60000","0.06409","0.20170"
"1.70000","0.06830","0.02245"
"1.80000","0.07243","0.23257"
"1.90000","0.07658","0.03630"
"2.00000","0.08077","0.14154"
"2.10000","0.08490","0.36385"
"2.20000","0.08912","-0.14263"
"2.30000","0.09325","0.15011"
"2.40000","0.09745","-0.15905"
"2.50000","0.10159","-0.06046"
"2.60000","0.10578","0.05975"
"2.70000","0.10995","-0.04298"
"2.80000","0.11411","-0.18052"
"2.90000","0.11825","0.10750"
"3.00000","0.12240","0.11894"
"3.10000","0.12658","-0.03394"
"3.20000","0.13072","0.31964"
"3.30000","0.13494","0.24525"
"3.40000","0.13909","-0.00295"
"3.50000","0.14327","0.13641"
"3.60000","0.14744","-0.13669"
"3.70000","0.15160","0.08177"
"3.80000","0.15576","-0.08474"
"3.90000","0.15992","-0.06550"
"4.00000","0.16411","0.01084"
"4.10000","0.16822","0.21387"
"4.20000","0.17245","0.24061"
"4.30000","0.17658","-0.05341"
"4.40000","0.18081","0.01239"
"4.50000","0.18496","0.04627"
"4.60000","0.18909","0.28238"
"4.70000","0.19326","-0.20914"
"4.80000","0.19736","0.10070"
"4.90000","0.20158","0.08977"
"5.00000","0.20573","-0.00246"
"5.10000","0.20992","0.00474"
"5.20000","0.21409","0.21380"
"5.30000","0.21828","0.40065"
"5.40000","0.22242","0.04462"
"5.50000","0.22662","-0.05528"
"5.60000","0.23079","-0.14278"
"5.70000","0.23492","-0.18748"
"5.80000","0.23911","-0.09579"
"5.90000","0.24322","0.05080"
"6.00000","0.24743","0.02504"
"6.10000","0.25158","0.15820"
"6.20000","0.25579","0.30055"
"6.30000","0.25997","-0.01721"
"6.40000","0.26411","0.32757"
"6.50000","0.26830","0.03374"
"6.60000","0.27242","0.16764"
"6.70000","0.27659","-0.08382"
"6.80000","0.28073","0.07312"
"6.90000","0.28492","-0.00564"
"7.00000","0.28905","0.07141"
"7.10000","0.29325","-0.02438"
"7.20000","0.29742","0.18020"
"7.30000","0.30159","0.21079"
"7.40000","0.30581","0.33622"
"7.50000","0.30992","0.21792"
"7.60000","0.31411","-0.13199"
"7.70000","0.31823","0.05389"
"7.80000","0.32243","0.07867"
"7.90000","0.32659","0.11200"
"8.00000","0.33077","-0.06614"
"8.10000","0.33495","-0.10541"
"8.20000","0.33911","0.33411"
"8.30000","0.34328","0.17212"
"8.40000","0.34744","0.12957"
"8.50000","0.35164","-0.05153"
"8.60000","0.35574","0.03762"
"8.70000","0.35993","-0.14087"
"8.80000","0.36405","0.11971"
"8.90000","0.36824","0.36272"
"9.00000","0.37242","0.18331"
"9.10000","0.37659","0.05128"
"9.20000","0.38078","-0.00661"
"9.30000","0.38491","0.29403"
"9.40000","0.38910","0.15300"
"9.50000","0.39326","-0.01056"
"9.60000","0.39744","0.04529"
"9.70000","0.40160","0.28433"
"9.80000","0.40576","0.03617"
"9.90000","0.40993","0.35013"
"10.00000","0.41409","0.14750"
"10.10000","0.41831","0.00324"
"10.20000","0.42243","-0.16359"
"10.30000","0.42664","0.04852"
"10.40000","0.43077","0.20355"
"10.50000","0.43492","0.19780"
"10.60000","0.43910","0.25894"
"10.70000","0.44323","0.22624"
"10.80000","0.44743","0.09771"
"10.90000","0.45157","0.01758"
"11.00000","0.45576","0.21235"
"11.10000","0.45991","0.17128"
"11.20000","0.46411","-0.08436"
"11.30000","0.46826","0.42312"
"11.40000","0.47245","0.15552"
"11.50000","0.47659","0.15355"
"11.60000","0.48073","0.30451"
"11.70000","0.48493","0.14963"
"11.80000","0.48905","0.19142"
"11.90000","0.49330","0.42337"
"12.00000","0.49743","0.17743"
"12.10000","0.50163","-0.00184"
"12.20000","0.50579","0.20828"
"12.30000","0.50994","0.29785"
"12.40000","0.51411","0.02872"
"12.50000","0.51825","0.43247"
"12.60000","0.52242","0.16951"
"12.70000","0.52656","0.26640"
"12.80000","0.53075","0.03699"
"12.90000","0.53489","0.30830"
"13.00000","0.53913","0.30453"
"13.10000","0.54327","-0.11826"
"13.20000","0.54745","0.00946"
"13.30000","0.55161","0.29617"
"13.40000","0.55572","0.05897"
"13.50000","0.55994","0.30547"
"13.60000","0.56406","0.28533"
"13.70000","0.56828","0.32600"
"13.80000","0.57242","-0.28769"
"13.90000","0.57663","0.33523"
"14.00000","0.58078","0.03913"
"14.10000","0.58495","0.02075"
"14.20000","0.58914","-0.07880"
"14.30000","0.59324","0.13924"
"14.40000","0.59744","0.24027"
"14.50000","0.60154","0.55378"
"14.60000","0.60576","0.26356"
"14.70000","0.60989","0.19811"
"14.80000","0.61411","0.23477"
"14.90000","0.61828","0.27075"
"15.00000","0.62243","0.12112"
"15.10000","0.62662","-0.08945"
"15.20000","0.63074","0.11625"
"15.30000","0.63492","0.31762"
"15.40000","0.63906","0.19184"
"15.50000","0.64326","0.26078"
"15.60000","0.64739","0.08253"
"15.70000","0.65162","0.29842"
"15.80000","0.65578","0.15764"
"15.90000","0.65996","-0.19503"
"16.00000","0.66415","0.16016"
"16.10000","0.66825","-0.05751"
"16.20000","0.67246","0.11418"
"16.30000","0.67654","0.27500"
"16.40000","0.68076","0.31463"
"16.50000","0.68490","0.37429"
"16.60000","0.68908","0.31675"
"16.70000","0.69327","0.62644"
"16.80000","0.69742","0.27362"
"16.90000","0.70161","0.14154"
"17.00000","0.70574","0.25121"
"17.10000","0.70997","0.21048"
"17.20000","0.71407","0.33830"
"17.30000","0.71828","0.16343"
"17.40000","0.72239","0.08049"
"17.50000","0.72658","0.15942"
"17.60000","0.73077","0.23116"
"17.70000","0.73494","0.35588"
"17.80000","0.73915","0.17645"
"17.90000","0.74326","0.50173"
"18.00000","0.74746","0.40130"
"18.10000","0.75158","0.13624"
"18.20000","0.75578","0.33990"
"18.30000","0.75991","0.32938"
