Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.20411"
"0.10000","0.00117","0.01410"
"0.20000","0.00506","0.00691"
"0.30000","0.00960","-0.00669"
"0.40000","0.01384","-0.03928"
"0.50000","0.01797","-0.19787"
"0.60000","0.02217","0.12416"
"0.70000","0.02632","0.05893"
"0.80000","0.03050","0.09413"
"0.90000","0.03466","0.10852"
"1.00000","0.03882","-0.07421"
"1.10000","0.04297","0.12177"
"1.20000","0.04713","-0.45167"
"1.30000","0.05129","0.17343"
"1.40000","0.05544","-0.00439"
"1.50000","0.05967","0.07786"
"1.60000","0.06380","-0.00384"
"1.70000","0.06802","-0.19059"
"1.80000","0.07214","0.30192"
"1.90000","0.07632","0.03691"
"2.00000","0.08048","0.15485"
"2.10000","0.08463","0.37120"
"2.20000","0.08883","0.23615"
"2.30000","0.09297","0.18157"
"2.40000","0.09716","-0.17510"
"2.50000","0.10131","0.07707"
"2.60000","0.10549","-0.04922"
"2.70000","0.10966","0.15851"
"2.80000","0.11384","0.10353"
"2.90000","0.11796","0.08840"
"3.00000","0.12213","0.17839"
"3.10000","0.12630","0.36543"
"3.20000","0.13044","-0.02409"
"3.30000","0.13466","0.07849"
"3.40000","0.13880","0.04432"
"3.50000","0.14299","0.30250"
"3.60000","0.14715","-0.10932"
"3.70000","0.15133","0.25480"
"3.80000","0.15548","0.02864"
"3.90000","0.15963","0.33946"
"4.00000","0.16382","0.03161"
"4.10000","0.16794","-0.15313"
"4.20000","0.17216","-0.13513"
"4.30000","0.17630","-0.07213"
"4.40000","0.18053","0.01081"
"4.50000","0.18468","-0.07677"
"4.60000","0.18882","0.25977"
"4.70000","0.19298","0.15054"
"4.80000","0.19708","0.02690"
"4.90000","0.20131","0.10010"
"5.00000","0.20544","0.01076"
"5.10000","0.20964","0.02423"
"5.20000","0.21379","-0.02279"
"5.30000","0.21799","-0.29145"
"5.40000","0.22214","-0.05239"
"5.50000","0.22634","0.04377"
"5.60000","0.23050","0.15087"
"5.70000","0.23464","-0.02212"
"5.80000","0.23881","0.04771"
"5.90000","0.24293","0.18354"
"6.00000","0.24714","0.24520"
"6.10000","0.25129","-0.13274"
"6.20000","0.25551","-0.04343"
"6.30000","0.25968","-0.07153"
"6.40000","0.26383","0.06235"
"6.50000","0.26802","0.02493"
"6.60000","0.27214","0.25582"
"6.70000","0.27631","-0.04071"
"6.80000","0.28045","-0.03924"
"6.90000","0.28463","0.07921"
"7.00000","0.28877","0.19460"
"7.10000","0.29297","0.32914"
"7.20000","0.29713","0.09796"
"7.30000","0.30133","0.03946"
"7.40000","0.30552","0.01860"
"7.50000","0.30964","0.05405"
"7.60000","0.31383","0.06363"
"7.70000","0.31794","0.24188"
"7.80000","0.32214","-0.02852"
"7.90000","0.32630","0.17139"
"8.00000","0.33049","-0.08058"
"8.10000","0.33466","-0.22897"
"8.20000","0.33883","-0.15563"
"8.30000","0.34299","0.06917"
"8.40000","0.34716","0.03168"
"8.50000","0.35135","0.18763"
"8.60000","0.35546","0.51517"
"8.70000","0.35965","-0.21415"
"8.80000","0.36377","0.28679"
"8.90000","0.36796","0.30410"
