Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.06623"
"0.10000","0.00110","0.09479"
"0.20000","0.00611","0.11961"
"0.30000","0.01025","0.00540"
"0.40000","0.01448","0.07006"
"0.50000","0.01864","-0.41810"
"0.60000","0.02280","-0.16643"
"0.70000","0.02700","-0.07457"
"0.80000","0.03114","-0.01612"
"0.90000","0.03533","0.03136"
"1.00000","0.03946","0.03658"
"1.10000","0.04362","-0.27620"
"1.20000","0.04777","-0.12724"
"1.30000","0.05193","0.30943"
"1.40000","0.05611","-0.30789"
"1.50000","0.06030","0.11665"
"1.60000","0.06448","-0.14212"
"1.70000","0.06865","-0.12697"
"1.80000","0.07282","0.13049"
"1.90000","0.07695","-0.05170"
"2.00000","0.08114","0.22976"
"2.10000","0.08528","-0.40478"
"2.20000","0.08947","0.17092"
"2.30000","0.09365","-0.07779"
"2.40000","0.09779","-0.01525"
"2.50000","0.10198","-0.09904"
"2.60000","0.10615","-0.03855"
"2.70000","0.11033","-0.29835"
"2.80000","0.11448","0.30376"
"2.90000","0.11861","0.09772"
"3.00000","0.12279","-0.15849"
"3.10000","0.12694","0.12859"
"3.20000","0.13111","-0.18342"
"3.30000","0.13530","0.01367"
"3.40000","0.13948","-0.06643"
"3.50000","0.14363","-0.07677"
"3.60000","0.14782","-0.00700"
"3.70000","0.15198","-0.10697"
"3.80000","0.15613","-0.17211"
"3.90000","0.16030","-0.06532"
"4.00000","0.16445","0.06152"
"4.10000","0.16860","-0.29552"
"4.20000","0.17280","-0.07343"
"4.30000","0.17697","-0.16428"
"4.40000","0.18117","0.04091"
"4.50000","0.18533","0.11339"
"4.60000","0.18946","-0.22272"
"4.70000","0.19362","-0.13003"
"4.80000","0.19774","-0.12055"
"4.90000","0.20195","-0.04407"
"5.00000","0.20612","-0.03763"
"5.10000","0.21029","-0.18381"
"5.20000","0.21447","0.08959"
"5.30000","0.21864","0.28822"
"5.40000","0.22281","0.03309"
"5.50000","0.22698","0.15215"
"5.60000","0.23115","0.11637"
"5.70000","0.23529","-0.33591"
"5.80000","0.23946","-0.04781"
"5.90000","0.24359","0.13295"
"6.00000","0.24779","-0.24652"
"6.10000","0.25197","-0.13429"
"6.20000","0.25615","-0.01696"
"6.30000","0.26033","-0.04695"
"6.40000","0.26449","-0.02012"
"6.50000","0.26865","0.31369"
"6.60000","0.27280","0.30818"
"6.70000","0.27696","-0.16117"
"6.80000","0.28112","0.16597"
"6.90000","0.28528","0.05038"
"7.00000","0.28942","-0.22634"
"7.10000","0.29362","0.12214"
"7.20000","0.29779","-0.06345"
"7.30000","0.30197","0.07793"
"7.40000","0.30618","-0.08136"
"7.50000","0.31029","-0.41458"
"7.60000","0.31448","-0.25413"
"7.70000","0.31861","-0.19136"
"7.80000","0.32279","0.31894"
"7.90000","0.32696","0.12009"
"8.00000","0.33113","-0.18638"
"8.10000","0.33531","-0.02841"
"8.20000","0.33948","-0.19096"
"8.30000","0.34365","-0.30255"
"8.40000","0.34781","0.01914"
"8.50000","0.35200","0.16420"
"8.60000","0.35611","-0.05894"
"8.70000","0.36031","-0.23171"
"8.80000","0.36443","0.12451"
"8.90000","0.36860","-0.11784"
"9.00000","0.37280","-0.07506"
"9.10000","0.37695","0.08074"
"9.20000","0.38115","-0.12390"
"9.30000","0.38529","-0.24549"
"9.40000","0.38948","-0.04517"
"9.50000","0.39363","-0.04309"
"9.60000","0.39780","-0.10456"
"9.70000","0.40197","-0.12648"
"9.80000","0.40612","0.11319"
"9.90000","0.41030","-0.05348"
"10.00000","0.41446","-0.30073"
"10.10000","0.41868","-0.02407"
"10.20000","0.42282","-0.18968"
"10.30000","0.42700","-0.28727"
"10.40000","0.43114","0.27776"
"10.50000","0.43529","0.04209"
"10.60000","0.43946","-0.10180"
"10.70000","0.44361","-0.07464"
"10.80000","0.44780","0.08606"
"10.90000","0.45193","0.16694"
"11.00000","0.45613","-0.04859"
"11.10000","0.46029","0.06349"
"11.20000","0.46448","-0.03104"
"11.30000","0.46864","0.01160"
"11.40000","0.47282","0.17143"
"11.50000","0.47696","0.11182"
"11.60000","0.48109","0.17972"
"11.70000","0.48531","-0.03965"
"11.80000","0.48943","-0.00374"
"11.90000","0.49367","0.09297"
"12.00000","0.49781","-0.06312"
"12.10000","0.50201","0.04147"
"12.20000","0.50616","-0.25678"
"12.30000","0.51032","0.08669"
"12.40000","0.51448","-0.03188"
"12.50000","0.51861","0.02577"
"12.60000","0.52279","0.09494"
"12.70000","0.52692","-0.29302"
"12.80000","0.53112","0.05771"
"12.90000","0.53527","-0.01181"
"13.00000","0.53949","-0.04016"
"13.10000","0.54366","-0.15517"
"13.20000","0.54780","-0.35662"
"13.30000","0.55200","-0.10866"
"13.40000","0.55608","-0.02829"
"13.50000","0.56031","-0.24456"
"13.60000","0.56444","0.00314"
"13.70000","0.56865","0.10386"
"13.80000","0.57280","0.05856"
"13.90000","0.57700","-0.03825"
"14.00000","0.58116","-0.17482"
"14.10000","0.58532","0.15112"
"14.20000","0.58950","-0.04966"
"14.30000","0.59361","-0.24777"
"14.40000","0.59782","-0.12712"
"14.50000","0.60192","-0.14984"
"14.60000","0.60613","-0.26071"
"14.70000","0.61028","-0.14759"
"14.80000","0.61446","0.11954"
"14.90000","0.61865","-0.22375"
"15.00000","0.62279","-0.15545"
"15.10000","0.62700","-0.13619"
"15.20000","0.63111","-0.02997"
"15.30000","0.63530","0.30526"
"15.40000","0.63944","-0.16238"
"15.50000","0.64363","-0.14731"
"15.60000","0.64777","-0.20275"
"15.70000","0.65198","-0.02423"
"15.80000","0.65616","-0.09948"
"15.90000","0.66032","0.09386"
"16.00000","0.66452","-0.03100"
"16.10000","0.66862","-0.13965"
"16.20000","0.67283","0.08258"
"16.30000","0.67693","-0.08701"
"16.40000","0.68113","0.01288"
"16.50000","0.68528","-0.19125"
"16.60000","0.68945","-0.00590"
"16.70000","0.69364","0.02417"
"16.80000","0.69779","0.05940"
"16.90000","0.70198","0.00764"
"17.00000","0.70612","-0.02719"
"17.10000","0.71034","0.14387"
"17.20000","0.71444","-0.07190"
"17.30000","0.71865","0.03075"
"17.40000","0.72277","-0.19599"
"17.50000","0.72694","-0.11597"
"17.60000","0.73115","-0.25270"
"17.70000","0.73530","0.11793"
"17.80000","0.73951","0.12483"
"17.90000","0.74364","0.17225"
"18.00000","0.74782","-0.07823"
"18.10000","0.75196","-0.30687"
"18.20000","0.75615","-0.05559"
"18.30000","0.76028","0.02116"
"18.40000","0.76446","-0.05978"
"18.50000","0.76860","-0.11269"
"18.60000","0.77276","-0.06027"
"18.70000","0.77698","-0.06978"
"18.80000","0.78111","0.13673"
"18.90000","0.78534","-0.15297"
"19.00000","0.78945","-0.01158"
"19.10000","0.79364","-0.08239"
"19.20000","0.79779","-0.25944"
"19.30000","0.80196","-0.00608"
"19.40000","0.80614","-0.15104"
"19.50000","0.81028","0.17405"
"19.60000","0.81448","-0.09076"
"19.70000","0.81863","0.09242"
"19.80000","0.82282","-0.10508"
"19.90000","0.82697","0.06944"
"20.00000","0.83118","0.04534"
"20.10000","0.83529","-0.13364"
"20.20000","0.83946","-0.05150"
"20.30000","0.84361","0.05660"
"20.40000","0.84776","0.26125"
"20.50000","0.85198","0.07198"
"20.60000","0.85611","-0.14739"
"20.70000","0.86031","-0.45410"
"20.80000","0.86447","-0.09598"
"20.90000","0.86865","-0.07175"
"21.00000","0.87280","0.03349"
"21.10000","0.87696","0.02333"
"21.20000","0.88113","0.15975"
"21.30000","0.88528","-0.03145"
"21.40000","0.88947","0.05997"
"21.50000","0.89361","0.07323"
"21.60000","0.89786","0.20644"
"21.70000","0.90198","0.14925"
"21.80000","0.90615","-0.01445"
"21.90000","0.91031","-0.30664"
"22.00000","0.91443","-0.16561"
"22.10000","0.91862","-0.27976"
"22.20000","0.92275","-0.06248"
"22.30000","0.92695","-0.08925"
"22.40000","0.93111","-0.07359"
"22.50000","0.93531","0.07239"
"22.60000","0.93947","0.00557"
"22.70000","0.94366","0.08239"
"22.80000","0.94782","-0.16108"
"22.90000","0.95196","0.00413"
"23.00000","0.95613","-0.07882"
"23.10000","0.96026","0.05812"
"23.20000","0.96447","-0.11059"
"23.30000","0.96861","-0.10075"
"23.40000","0.97282","-0.26501"
"23.50000","0.97699","-0.11935"
"23.60000","0.98116","0.04805"
"23.70000","0.98534","-0.17778"
"23.80000","0.98947","0.00511"
"23.90000","0.99363","-0.14987"
"24.00000","0.99778","-0.29479"
"24.10000","1.00194","-0.35407"
"24.20000","1.00608","0.05230"
"24.30000","1.01029","-0.18334"
"24.40000","1.01445","-0.15452"
"24.50000","1.01865","-0.14436"
"24.60000","1.02283","-0.11414"
"24.70000","1.02697","-0.29685"
"24.80000","1.03116","-0.18319"
"24.90000","1.03527","0.27860"
"25.00000","1.03946","-0.27521"
"25.10000","1.04363","0.20897"
"25.20000","1.04779","-0.03462"
"25.30000","1.05198","-0.07881"
"25.40000","1.05616","0.36472"
"25.50000","1.06032","-0.36192"
"25.60000","1.06449","0.10829"
"25.70000","1.06866","-0.22736"
"25.80000","1.07277","0.14404"
"25.90000","1.07697","0.13596"
"26.00000","1.08109","-0.09646"
"26.10000","1.08528","0.02845"
"26.20000","1.08946","-0.08640"
"26.30000","1.09361","-0.04114"
"26.40000","1.09782","0.08055"
"26.50000","1.10196","0.20380"
"26.60000","1.10615","0.04178"
"26.70000","1.11030","0.07331"
"26.80000","1.11446","0.04183"
"26.90000","1.11863","0.02802"
"27.00000","1.12280","0.01928"
"27.10000","1.12695","-0.10691"
"27.20000","1.13114","0.03259"
"27.30000","1.13534","-0.00553"
"27.40000","1.13948","-0.07404"
"27.50000","1.14367","0.07576"
"27.60000","1.14779","0.15213"
"27.70000","1.15197","-0.14137"
"27.80000","1.15611","0.19627"
"27.90000","1.16029","-0.04404"
"28.00000","1.16447","0.20265"
"28.10000","1.16860","0.01241"
"28.20000","1.17280","0.08799"
"28.30000","1.17695","-0.02076"
"28.40000","1.18115","-0.20825"
"28.50000","1.18530","-0.10086"
"28.60000","1.18950","0.00396"
"28.70000","1.19362","-0.17962"
"28.80000","1.19780","0.09889"
"28.90000","1.20196","-0.04847"
"29.00000","1.20609","-0.09963"
"29.10000","1.21032","0.04453"
"29.20000","1.21447","0.07573"
"29.30000","1.21867","0.16352"
"29.40000","1.22282","0.11549"
"29.50000","1.22698","-0.25300"
"29.60000","1.23115","-0.10400"
"29.70000","1.23529","-0.09640"
"29.80000","1.23944","0.00969"
"29.90000","1.24359","-0.13352"
"30.00000","1.24778","0.12674"
"30.10000","1.25193","0.24966"
"30.20000","1.25616","0.03613"
"30.30000","1.26030","-0.06095"
"30.40000","1.26449","-0.05117"
"30.50000","1.26864","0.08654"
"30.60000","1.27278","0.21128"
"30.70000","1.27697","-0.36002"
"30.80000","1.28111","-0.07295"
"30.90000","1.28531","0.05704"
"31.00000","1.28946","0.01738"
"31.10000","1.29366","-0.10207"
