Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.08342"
"0.10000","0.00123","-0.20691"
"0.20000","0.00552","0.12401"
"0.30000","0.00984","-0.12198"
"0.40000","0.01409","-0.06927"
"0.50000","0.01822","-0.02402"
"0.60000","0.02243","0.00146"
"0.70000","0.02658","-0.15510"
"0.80000","0.03075","0.04033"
"0.90000","0.03492","0.05621"
"1.00000","0.03907","-0.08823"
"1.10000","0.04323","-0.00002"
"1.20000","0.04738","0.01504"
"1.30000","0.05155","-0.09522"
"1.40000","0.05570","-0.09956"
"1.50000","0.05994","-0.10345"
"1.60000","0.06407","-0.15160"
"1.70000","0.06827","-0.19834"
"1.80000","0.07241","-0.25618"
"1.90000","0.07657","-0.00715"
"2.00000","0.08076","-0.34448"
"2.10000","0.08488","-0.25471"
"2.20000","0.08910","-0.00381"
"2.30000","0.09323","-0.13062"
"2.40000","0.09744","0.00294"
"2.50000","0.10158","-0.18239"
"2.60000","0.10577","-0.19931"
"2.70000","0.10992","-0.23616"
"2.80000","0.11409","-0.06969"
"2.90000","0.11824","0.06311"
"3.00000","0.12238","-0.01735"
"3.10000","0.12657","0.18437"
"3.20000","0.13070","-0.14433"
"3.30000","0.13492","0.13999"
"3.40000","0.13907","-0.05884"
"3.50000","0.14325","0.22103"
"3.60000","0.14742","-0.33639"
"3.70000","0.15159","-0.25251"
"3.80000","0.15575","-0.02448"
"3.90000","0.15990","0.12946"
"4.00000","0.16408","-0.07740"
"4.10000","0.16820","-0.21496"
"4.20000","0.17242","-0.01404"
"4.30000","0.17656","-0.09720"
"4.40000","0.18079","-0.06879"
"4.50000","0.18494","0.13726"
"4.60000","0.18907","0.00221"
"4.70000","0.19324","-0.13286"
"4.80000","0.19734","-0.05428"
"4.90000","0.20157","0.01796"
"5.00000","0.20571","-0.28235"
"5.10000","0.20990","-0.15224"
"5.20000","0.21407","0.38762"
"5.30000","0.21826","0.00297"
"5.40000","0.22240","-0.01036"
"5.50000","0.22660","0.05174"
"5.60000","0.23077","-0.30000"
"5.70000","0.23489","-0.02668"
"5.80000","0.23908","0.06100"
"5.90000","0.24320","-0.01693"
"6.00000","0.24741","0.04666"
"6.10000","0.25157","0.07554"
"6.20000","0.25577","-0.27271"
"6.30000","0.25995","0.03061"
"6.40000","0.26408","0.07438"
"6.50000","0.26827","-0.05805"
"6.60000","0.27240","0.05381"
"6.70000","0.27657","0.03949"
"6.80000","0.28072","0.12677"
